text,question,answer,answer_start
"Arlington is a city in Texas, west of Dallas. It's home to the University of Texas at Arlington (UTA), whose campus has a modern planetarium. In River Legacy Parks, trails cut through hardwood forest rich in wildlife. The park also has the River Legacy Living Science Center, with aquariums, terrariums and interactive exhibits. The Dallas Cowboys football team plays at AT&T Stadium, which also hosts concerts.",Which state is the city in?,"Texas,",23
"Arlington is a city in Texas, west of Dallas. It's home to the University of Texas at Arlington (UTA), whose campus has a modern planetarium. In River Legacy Parks, trails cut through hardwood forest rich in wildlife. The park also has the River Legacy Living Science Center, with aquariums, terrariums and interactive exhibits. The Dallas Cowboys football team plays at AT&T Stadium, which also hosts concerts.","Where is the city located?
",west of Dallas,30
"Arlington is a city in Texas, west of Dallas. It's home to the University of Texas at Arlington (UTA), whose campus has a modern planetarium. In River Legacy Parks, trails cut through hardwood forest rich in wildlife. The park also has the River Legacy Living Science Center, with aquariums, terrariums and interactive exhibits. The Dallas Cowboys football team plays at AT&T Stadium, which also hosts concerts.","Which team plays in the AT&T Stadium?
","The Dallas Cowboys football team plays at AT&T Stadium, which also hosts concerts.",329
"Arlington is a city in Texas, west of Dallas. It's home to the University of Texas at Arlington (UTA), whose campus has a modern planetarium. In River Legacy Parks, trails cut through hardwood forest rich in wildlife. The park also has the River Legacy Living Science Center, with aquariums, terrariums and interactive exhibits. The Dallas Cowboys football team plays at AT&T Stadium, which also hosts concerts.",What is the city?,Arlington ,0
"Arlington is a city in Texas, west of Dallas. It's home to the University of Texas at Arlington (UTA), whose campus has a modern planetarium. In River Legacy Parks, trails cut through hardwood forest rich in wildlife. The park also has the River Legacy Living Science Center, with aquariums, terrariums and interactive exhibits. The Dallas Cowboys football team plays at AT&T Stadium, which also hosts concerts.","What is the city known for?
","It's home to the University of Texas at Arlington (UTA), whose campus has a modern planetarium. In River Legacy Parks, trails cut through hardwood forest rich in wildlife. The park also has the River Legacy Living Science Center, with aquariums, terrariums and interactive exhibits. ",46
"Bakersfield is a city on the Kern River, north of Los Angeles. Displays at the Buena Vista Museum of Natural History focus on geology and paleontology. On the city�s northeastern edge, the California Living Museum explores the state�s flora and fauna, and has a reptile house and a touch tank. Northeast, trails wind through the mountains of the Kern River Ranger District, part of Sequoia National Forest.�",Which state is the city in?,California ,189
"Bakersfield is a city on the Kern River, north of Los Angeles. Displays at the Buena Vista Museum of Natural History focus on geology and paleontology. On the city�s northeastern edge, the California Living Museum explores the state�s flora and fauna, and has a reptile house and a touch tank. Northeast, trails wind through the mountains of the Kern River Ranger District, part of Sequoia National Forest.�","Where is the city located?
"," a city on the Kern River, north of Los Angeles",14
"Bakersfield is a city on the Kern River, north of Los Angeles. Displays at the Buena Vista Museum of Natural History focus on geology and paleontology. On the city�s northeastern edge, the California Living Museum explores the state�s flora and fauna, and has a reptile house and a touch tank. Northeast, trails wind through the mountains of the Kern River Ranger District, part of Sequoia National Forest.�",What is the city?,Bakersfield,0
"Bakersfield is a city on the Kern River, north of Los Angeles. Displays at the Buena Vista Museum of Natural History focus on geology and paleontology. On the city�s northeastern edge, the California Living Museum explores the state�s flora and fauna, and has a reptile house and a touch tank. Northeast, trails wind through the mountains of the Kern River Ranger District, part of Sequoia National Forest.�","What is the city known for?
"," Displays at the Buena Vista Museum of Natural History focus on geology and paleontology. On the city�s northeastern edge, the California Living Museum explores the state�s flora and fauna, and has a reptile house and a touch tank.",62
"Corpus Christi is a Texas city on the Gulf of Mexico. It�s tucked into a bay and its beaches are sheltered by Padre and Mustang islands. The Padre Island National Seashore is home to migratory birds and endangered Kemp�s ridley sea turtles. The harborfront Texas State Aquarium has touch pools, an aquatic nursery and a shark exhibit. Nearby, a WWII aircraft carrier, USS Lexington, now houses a naval aviation museum.�",Which state is the city in?,Texas,20
"Corpus Christi is a Texas city on the Gulf of Mexico. It�s tucked into a bay and its beaches are sheltered by Padre and Mustang islands. The Padre Island National Seashore is home to migratory birds and endangered Kemp�s ridley sea turtles. The harborfront Texas State Aquarium has touch pools, an aquatic nursery and a shark exhibit. Nearby, a WWII aircraft carrier, USS Lexington, now houses a naval aviation museum.�","Where is the city located?
",on the Gulf of Mexico.,31
"Corpus Christi is a Texas city on the Gulf of Mexico. It�s tucked into a bay and its beaches are sheltered by Padre and Mustang islands. The Padre Island National Seashore is home to migratory birds and endangered Kemp�s ridley sea turtles. The harborfront Texas State Aquarium has touch pools, an aquatic nursery and a shark exhibit. Nearby, a WWII aircraft carrier, USS Lexington, now houses a naval aviation museum.�",What is the city?,Corpus Christi ,0
"Corpus Christi is a Texas city on the Gulf of Mexico. It�s tucked into a bay and its beaches are sheltered by Padre and Mustang islands. The Padre Island National Seashore is home to migratory birds and endangered Kemp�s ridley sea turtles. The harborfront Texas State Aquarium has touch pools, an aquatic nursery and a shark exhibit. Nearby, a WWII aircraft carrier, USS Lexington, now houses a naval aviation museum.�","What is the city known for?
","It�s tucked into a bay and its beaches are sheltered by Padre and Mustang islands. The Padre Island National Seashore is home to migratory birds and endangered Kemp�s ridley sea turtles. The harborfront Texas State Aquarium has touch pools, an aquatic nursery and a shark exhibit. Nearby, a WWII aircraft carrier, USS Lexington, now houses a naval aviation museum.�",54
